name,shortName,gps,version,catalog,doi,detail_url,mass_1_source,mass_1_source_lower,mass_1_source_upper,mass_2_source,mass_2_source_lower,mass_2_source_upper,network_matched_filter_snr,network_matched_filter_snr_lower,network_matched_filter_snr_upper,luminosity_distance,luminosity_distance_lower,luminosity_distance_upper,chi_eff,chi_eff_lower,chi_eff_upper,total_mass_source,total_mass_source_lower,total_mass_source_upper,chirp_mass_source,chirp_mass_source_lower,chirp_mass_source_upper,chirp_mass,chirp_mass_lower,chirp_mass_upper,redshift,redshift_lower,redshift_upper,far,far_lower,far_upper,p_astro,p_astro_lower,p_astro_upper,final_mass_source,final_mass_source_lower,final_mass_source_upper
GW231220_173406,GW231220_173406-v1,1387128864.2,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231220_173406-v1,,,,,,,7.9,,,,,,,,,,,,,,,,,,,,,6.2,,,0.77,,,,,
GW231213_111417,GW231213_111417-v1,1386501275.9,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231213_111417-v1,35.5,-6.7,10.3,27.2,-7.5,8.1,10.4,,,4000.0,-2000.0,2300.0,0.06,-0.23,0.24,62.5,-9.3,14.3,26.7,-4.2,6.3,,,,0.65,-0.29,0.3,1e-05,,,0.99,,,59.5,-8.8,13.4
GW231206_233901,GW231206_233901-v1,1385941159.5,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231206_233901-v1,37.6,-4.6,6.6,28.4,-6.0,5.4,21.9,,,1490.0,-490.0,340.0,-0.05,-0.15,0.14,66.0,-3.7,5.3,28.1,-1.7,2.7,,,,0.28,-0.08,0.05,1e-05,,,0.99,,,63.1,-3.4,5.0
GW231206_233134,GW231206_233134-v1,1385940712.5,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231206_233134-v1,35.6,-6.3,9.1,28.1,-7.1,7.5,12.8,,,3200.0,-1800.0,1800.0,-0.09,-0.24,0.22,63.5,-8.8,13.4,27.2,-3.9,5.9,,,,0.54,-0.27,0.25,1e-05,,,0.99,,,60.6,-8.4,12.7
GW231206_010629,GW231206_010629-v1,1385860007.2,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231206_010629-v1,,,,,,,9.7,,,,,,,,,,,,,,,,,,,,,6.8999999999999995,,,0.58,,,,,
GW231204_090648,GW231204_090648-v1,1385716026.9,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231204_090648-v1,,,,,,,8.4,,,,,,,,,,,,,,,,,,,,,3.5999999999999996,,,0.54,,,,,
GW231129_081745,GW231129_081745-v1,1385281083.6,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231129_081745-v1,45.0,-13.0,15.0,23.8,-8.2,10.0,9.4,,,3800.0,-2100.0,3600.0,0.02,-0.26,0.27,69.0,-14.0,18.0,27.7,-5.7,7.7,,,,0.63,-0.31,0.45,0.056,,,0.99,,,66.0,-14.0,17.0
GW231127_165300,GW231127_165300-v1,1385139198.9,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231127_165300-v1,45.0,-12.0,18.0,29.0,-12.0,12.0,9.9,,,4500.0,-2500.0,3600.0,0.05,-0.32,0.3,74.0,-15.0,22.0,30.5,-6.7,9.5,,,,0.71,-0.35,0.44,0.01,,,0.99,,,71.0,-14.0,21.0
GW231126_010928,GW231126_010928-v1,1384996186.3,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231126_010928-v1,,,,,,,9.1,,,,,,,,,,,,,,,,,,,,,4.2,,,0.86,,,,,
GW231123_135430,GW231123_135430-v1,1384782888.6,1,O4_Discovery_Papers,https://doi.org/10.7935/anj7-6q40,https://gwosc.org/api/v2/event-versions/GW231123_135430-v1,137.0,-18.0,23.0,101.0,-50.0,22.0,20.7,-0.3,0.2,2200.0,-1500.0,1900.0,0.32,-0.41,0.25,236.0,-47.0,30.0,,,,,,,0.4,-0.25,0.27,0.0001,,,,,,222.0,-42.0,28.0
GW231123_135430,GW231123_135430-v2,1384782888.7,2,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231123_135430-v2,137.0,-18.0,23.0,101.0,-51.0,22.0,21.8,,,2200.0,-1500.0,2000.0,0.31,-0.41,0.25,236.0,-48.0,29.0,101.0,-30.0,13.0,,,,0.39,-0.25,0.28,1e-05,,,0.99,,,222.0,-42.0,27.0
GW231120_022103,GW231120_022103-v1,1384482081.0,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231120_022103-v1,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,3.8000000000000003,,,0.9,,,,,
GW231119_075248,GW231119_075248-v1,1384415586.1,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231119_075248-v1,49.0,-13.0,23.0,33.0,-13.0,15.0,8.3,,,6700.0,-3700.0,5500.0,,,,82.0,-18.0,29.0,34.4,-7.8,12.4,,,,0.99,-0.48,0.62,0.019,,,0.99,,,79.0,-18.0,27.0
GW231118_090602,GW231118_090602-v1,1384333580.0,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231118_090602-v1,13.1,-3.3,13.7,7.3,-3.3,2.1,11.0,,,1350.0,-600.0,540.0,0.08,-0.09,0.36,20.7,-2.3,10.2,8.37,-0.56,0.76,,,,0.26,-0.11,0.09,1e-05,,,0.99,,,19.7,-2.3,10.6
GW231118_071402,GW231118_071402-v1,1384326860.2,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231118_071402-v1,43.0,-10.0,15.0,29.0,-10.0,11.0,9.2,,,4300.0,-2200.0,3500.0,0.11,-0.28,0.29,72.0,-14.0,18.0,30.4,-6.1,7.9,,,,0.69,-0.32,0.43,0.0028,,,0.99,,,69.0,-13.0,17.0
GW231118_005626,GW231118_005626-v1,1384304204.8,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231118_005626-v1,19.8,-4.9,6.6,10.9,-2.4,3.3,10.7,,,2190.0,-970.0,930.0,0.37,-0.11,0.1,30.9,-3.6,5.3,12.6,-1.1,1.6,,,,0.39,-0.16,0.14,1e-05,,,0.99,,,29.3,-3.6,5.3
GW231114_043211,GW231114_043211-v1,1383971549.2,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231114_043211-v1,22.7,-6.4,9.6,8.2,-2.2,2.6,10.0,,,1380.0,-610.0,870.0,0.08,-0.16,0.22,31.0,-4.8,7.6,11.6,-1.1,1.1,,,,0.26,-0.11,0.14,0.00013,,,0.99,,,30.0,-4.8,7.8
GW231113_200417,GW231113_200417-v1,1383941075.9,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231113_200417-v1,11.5,-2.3,5.1,7.4,-2.0,1.8,10.5,,,1160.0,-530.0,640.0,0.13,-0.08,0.14,19.2,-1.9,3.1,8.01,-0.64,0.68,,,,0.23,-0.1,0.11,3.8e-05,,,0.99,,,18.3,-1.9,3.2
GW231113_150041,GW231113_150041-v1,1383922859.4,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231113_150041-v1,,,,,,,8.7,,,,,,,,,,,,,,,,,,,,,1.7999999999999998,,,0.96,,,,,
GW231113_122623,GW231113_122623-v1,1383913601.9,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231113_122623-v1,39.7,-9.6,17.3,26.4,-9.4,9.0,8.6,,,3400.0,-1700.0,2400.0,0.33,-0.33,0.25,67.0,-13.0,16.0,27.9,-5.5,6.3,,,,0.57,-0.25,0.31,0.28,,,0.99,,,63.0,-12.0,15.0
GW231110_040320,GW231110_040320-v1,1383624218.2,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231110_040320-v1,19.5,-4.1,5.8,12.5,-2.9,3.1,11.5,,,1890.0,-910.0,870.0,0.17,-0.12,0.13,32.2,-3.4,4.3,13.4,-1.2,1.7,,,,0.35,-0.15,0.13,1e-05,,,0.99,,,30.6,-3.3,4.2
GW231108_125142,GW231108_125142-v1,1383483120.5,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231108_125142-v1,23.2,-3.6,5.5,17.4,-3.1,3.2,12.6,,,2060.0,-910.0,730.0,-0.08,-0.15,0.13,40.6,-3.3,5.1,17.3,-1.3,2.1,,,,0.37,-0.15,0.11,1e-05,,,0.99,,,38.8,-3.2,4.9
GW231104_133418,GW231104_133418-v1,1383140076.9,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231104_133418-v1,12.3,-2.1,4.5,8.6,-2.2,1.8,11.8,,,1470.0,-660.0,540.0,0.14,-0.07,0.12,21.0,-1.7,2.8,8.84,-0.56,0.87,,,,0.28,-0.11,0.09,1e-05,,,0.99,,,20.0,-1.7,2.8
GW231102_232433,GW231102_232433-v1,1383002691.5,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231102_232433-v1,,,,,,,7.6,,,,,,,,,,,,,,,,,,,,,2.5,,,0.8,,,,,
GW231102_071736,GW231102_071736-v1,1382944674.4,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231102_071736-v1,61.0,-12.0,14.0,43.0,-13.0,13.0,15.6,,,3800.0,-1800.0,2100.0,0.06,-0.22,0.23,102.0,-13.0,21.0,43.4,-6.3,9.3,,,,0.63,-0.26,0.26,1e-05,,,0.99,,,98.0,-12.0,19.0
GW231102_052214,GW231102_052214-v1,1382937752.4,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231102_052214-v1,,,,,,,7.9,,,,,,,,,,,,,,,,,,,,,4.0,,,0.72,,,,,
GW231029_111508,GW231029_111508-v1,1382613326.8,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231029_111508-v1,65.0,-14.0,17.0,42.0,-15.0,15.0,10.8,,,3100.0,-1700.0,2400.0,0.14,-0.24,0.24,106.0,-16.0,22.0,44.2,-8.0,10.5,,,,0.53,-0.25,0.32,5.2000000000000004e-05,,,0.99,,,101.0,-15.0,21.0
GW231028_153006,GW231028_153006-v1,1382542224.3,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231028_153006-v1,95.0,-20.0,33.0,58.0,-25.0,21.0,22.4,,,4100.0,-1900.0,1400.0,0.44,-0.2,0.16,152.0,-14.0,29.0,63.0,-10.0,13.0,,,,0.67,-0.27,0.18,1e-05,,,0.99,,,144.0,-13.0,27.0
GW231026_130704,GW231026_130704-v1,1382360842.2,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231026_130704-v1,,,,,,,8.3,,,,,,,,,,,,,,,,,,,,,1.7,,,0.93,,,,,
GW231020_142947,GW231020_142947-v1,1381847405.6,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231020_142947-v1,12.1,-2.7,9.1,7.3,-2.9,2.1,12.0,,,1230.0,-630.0,520.0,0.15,-0.12,0.25,19.8,-2.1,6.0,8.06,-0.53,0.81,,,,0.24,-0.11,0.09,1e-05,,,0.99,,,18.9,-2.0,6.3
GW231018_233037,GW231018_233037-v1,1381707055.0,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231018_233037-v1,11.6,-2.5,4.9,7.2,-2.0,1.9,9.1,,,1530.0,-730.0,760.0,0.01,-0.13,0.17,19.1,-2.0,3.3,7.9,-0.68,0.88,,,,0.29,-0.13,0.12,0.68,,,0.93,,,18.2,-2.0,3.3
GW231014_040532,GW231014_040532-v1,1381291551.0,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231014_040532-v1,20.6,-4.0,7.8,14.7,-4.3,3.9,9.0,,,2300.0,-1200.0,1400.0,0.17,-0.28,0.26,35.5,-4.6,7.0,15.0,-1.9,2.7,,,,0.42,-0.2,0.2,0.21,,,0.96,,,33.8,-4.3,6.6
GW231013_135504,GW231013_135504-v1,1381240522.4,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231013_135504-v1,,,,,,,8.4,,,,,,,,,,,,,,,,,,,,,64.0,,,0.54,,,,,
GW231008_142521,GW231008_142521-v1,1380810339.8,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231008_142521-v1,45.0,-12.0,17.0,25.5,-9.7,10.7,9.3,,,3000.0,-1300.0,2500.0,-0.01,-0.28,0.26,71.0,-13.0,16.0,28.9,-5.6,6.8,,,,0.51,-0.2,0.33,0.0016,,,0.99,,,69.0,-13.0,15.0
GW231005_144455,GW231005_144455-v1,1380552313.4,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231005_144455-v1,,,,,,,7.3,,,,,,,,,,,,,,,,,,,,,60.0,,,0.55,,,,,
GW231005_091549,GW231005_091549-v1,1380532567.5,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231005_091549-v1,28.8,-6.1,10.1,21.2,-6.1,6.4,11.0,,,3800.0,-1900.0,2600.0,-0.03,-0.26,0.23,50.2,-8.3,11.3,21.3,-3.5,4.8,,,,0.62,-0.27,0.33,0.04,,,0.99,,,48.0,-7.9,10.8
GW231005_021030,GW231005_021030-v1,1380507049.0,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231005_021030-v1,83.0,-23.0,31.0,49.0,-20.0,22.0,10.4,,,6400.0,-3300.0,4700.0,0.1,-0.37,0.35,132.0,-25.0,37.0,54.0,-12.0,17.0,,,,0.95,-0.43,0.54,0.01,,,0.99,,,126.0,-24.0,35.0
GW231004_232346,GW231004_232346-v1,1380497044.3,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231004_232346-v1,65.0,-19.0,25.0,35.0,-14.0,16.0,8.9,,,4300.0,-2200.0,3600.0,-0.05,-0.37,0.3,100.0,-19.0,28.0,40.1,-8.5,11.7,,,,0.69,-0.31,0.44,0.16,,,0.97,,,96.0,-19.0,26.0
GW231002_143916,GW231002_143916-v1,1380292774.7,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231002_143916-v1,,,,,,,9.4,,,,,,,,,,,,,,,,,,,,,1.0,,,0.9,,,,,
GW231001_140220,GW231001_140220-v1,1380204158.7,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231001_140220-v1,75.0,-22.0,26.0,40.0,-16.0,18.0,11.5,,,4400.0,-2400.0,3800.0,-0.04,-0.35,0.33,115.0,-22.0,32.0,46.4,-9.9,14.3,,,,0.71,-0.34,0.47,1.6e-05,,,0.99,,,111.0,-21.0,31.0
GW230930_110730,GW230930_110730-v1,1380107268.4,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW230930_110730-v1,34.4,-7.8,12.9,24.4,-7.4,8.3,9.0,,,4900.0,-2500.0,3200.0,0.03,-0.27,0.26,59.0,-10.0,15.0,24.9,-4.2,6.3,,,,0.77,-0.34,0.38,0.17,,,0.99,,,56.3,-9.7,14.2
GW230928_215827,GW230928_215827-v1,1379973525.1,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW230928_215827-v1,54.0,-15.0,19.0,29.0,-11.0,14.0,10.5,,,5000.0,-2500.0,3900.0,0.4,-0.28,0.2,83.0,-18.0,22.0,33.6,-7.5,9.9,,,,0.78,-0.34,0.47,1.4999999999999999e-05,,,0.99,,,79.0,-17.0,21.0
GW230927_153832,GW230927_153832-v1,1379864330.9,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW230927_153832-v1,21.9,-2.9,3.7,16.5,-2.5,2.6,20.3,,,1180.0,-530.0,380.0,0.03,-0.08,0.08,38.3,-2.2,3.3,16.36,-0.82,1.42,,,,0.23,-0.1,0.06,1e-05,,,0.99,,,36.5,-2.1,3.1
GW230927_043729,GW230927_043729-v1,1379824667.1,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW230927_043729-v1,34.9,-6.1,8.7,27.1,-6.5,7.2,12.1,,,3300.0,-1700.0,1700.0,0.01,-0.22,0.2,61.8,-8.0,12.6,26.5,-3.5,5.5,,,,0.55,-0.26,0.23,1e-05,,,0.99,,,58.9,-7.6,11.9
GW230925_143957,GW230925_143957-v1,1379688015.5,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW230925_143957-v1,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,8.2,,,0.55,,,,,
GW230924_124453,GW230924_124453-v1,1379594711.8,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW230924_124453-v1,28.8,-4.0,5.9,23.1,-4.4,4.4,13.5,,,2400.0,-1000.0,1000.0,0.02,-0.18,0.18,51.8,-4.9,7.0,22.3,-2.1,3.1,,,,0.42,-0.16,0.15,1e-05,,,0.99,,,49.3,-4.6,6.6
GW230922_040658,GW230922_040658-v1,1379390836.1,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW230922_040658-v1,76.0,-18.0,29.0,51.0,-24.0,23.0,12.5,,,6400.0,-3500.0,4100.0,0.31,-0.32,0.25,125.0,-21.0,37.0,52.0,-11.0,17.0,,,,0.96,-0.45,0.47,1e-05,,,0.99,,,119.0,-21.0,34.0
GW230922_020344,GW230922_020344-v1,1379383442.9,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW230922_020344-v1,39.3,-6.3,10.0,29.2,-6.2,5.6,13.4,,,1640.0,-730.0,730.0,0.03,-0.21,0.2,68.6,-6.5,8.9,29.2,-2.6,3.6,,,,0.31,-0.12,0.11,1e-05,,,0.99,,,65.4,-6.1,8.4
GW230920_071124,GW230920_071124-v1,1379229102.7,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW230920_071124-v1,32.4,-6.2,9.1,23.8,-6.9,6.6,11.1,,,2900.0,-1400.0,1800.0,,,,56.4,-8.0,10.2,23.9,-3.4,4.6,,,,0.5,-0.21,0.24,1e-05,,,0.99,,,53.9,-7.6,9.6
GW230920_064709,GW230920_064709-v1,1379227647.3,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW230920_064709-v1,,,,,,,9.5,,,,,,,,,,,,,,,,,,,,,4.8,,,0.81,,,,,
GW230919_215712,GW230919_215712-v1,1379195850.0,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW230919_215712-v1,27.3,-3.7,5.5,21.4,-4.3,3.5,16.8,,,1330.0,-500.0,790.0,0.18,-0.13,0.12,49.0,-4.5,4.2,21.0,-1.9,1.8,,,,0.26,-0.09,0.13,1e-05,,,0.99,,,46.5,-4.3,3.9
GW230914_111401,GW230914_111401-v1,1378725259.7,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW230914_111401-v1,59.0,-11.0,12.0,36.0,-12.0,13.0,17.2,,,2700.0,-1200.0,1600.0,0.12,-0.2,0.19,95.0,-10.0,15.0,39.6,-6.2,7.5,,,,0.47,-0.19,0.23,1e-05,,,0.99,,,90.9,-9.7,14.0
